id,member_id,loan_amnt,loan_amnt_band,funded_amnt,funded_amnt_band,funded_amnt_inv,funded_amnt_inv_band,term,int_rate,int_rate_band,installment,installment_band,grade,sub_grade,emp_title,emp_length_years,emp_length_band,home_ownership,annual_inc,annual_inc_band,verification_status,dti,dti_band,purpose,issue_date,issue_month,issue_month_name,issue_year,loan_status_label,default_flag
1069908,1305008,12000,Medium,12000,Medium,12000,Medium,36 months,12.69,Medium,402.54,High,B,B5,UCLA,10,Expert (7y+),OWN,75000,Medium,Source Verified,10.78,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1064687,1298717,9000,Medium,9000,Medium,9000,Medium,36 months,13.49,Medium,305.38,Medium,C,C1,Va. Dept of Conservation/Recreation,1,Fresher (0-1y),RENT,30000,Low,Source Verified,10.08,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1069866,1304956,3000,Low,3000,Low,3000,Low,36 months,9.91,Low,96.68,Low,B,B1,Target,3,Junior (1-3y),RENT,15000,Low,Source Verified,12.56,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069057,1303503,10000,Medium,10000,Medium,10000,Medium,36 months,10.65,Medium,325.74,Medium,B,B2,SFMTA,3,Junior (1-3y),RENT,100000,Medium,Source Verified,7.06,Low,other,12/1/2011,12,Dec,2011,Charged Off,1
1069759,1304871,1000,Low,1000,Low,1000,Low,36 months,16.29,High,35.31,Low,D,D1,Internal revenue Service,1,Fresher (0-1y),RENT,28000,Low,Not Verified,20.31,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1065775,1299699,10000,Medium,10000,Medium,10000,Medium,36 months,15.27,High,347.98,Medium,C,C4,Chin's Restaurant,4,Senior (3-7y),RENT,42000,Low,Not Verified,18.6,Medium,home_improvement,12/1/2011,12,Dec,2011,Fully Paid,0
1069971,1304884,3600,Low,3600,Low,3600,Low,36 months,6.03,Low,109.57,Low,A,A1,Duracell,10,Expert (7y+),MORTGAGE,110000,High,Not Verified,10.52,Medium,major_purchase,12/1/2011,12,Dec,2011,Fully Paid,0
1062474,1294539,6000,Medium,6000,Medium,6000,Medium,36 months,11.71,Medium,198.46,Low,B,B3,Connection Inspection,1,Fresher (0-1y),MORTGAGE,84000,Medium,Verified,18.44,Medium,medical,12/1/2011,12,Dec,2011,Fully Paid,0
1069742,1304855,9200,Medium,9200,Medium,9200,Medium,36 months,6.03,Low,280.01,Medium,A,A1,Network Interpreting Service,6,Senior (3-7y),RENT,77385.19,Medium,Not Verified,9.86,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069740,1284848,20250,High,20250,High,19142.16108,High,60 months,15.27,High,484.63,High,C,C4,Archdiocese of Galveston Houston,3,Junior (1-3y),RENT,43370,Low,Verified,26.53,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1039153,1269083,21000,High,21000,High,21000,High,36 months,12.42,Medium,701.73,Very High,B,B4,Osram Sylvania,10,Expert (7y+),RENT,105000,High,Verified,13.22,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1069710,1304821,10000,Medium,10000,Medium,10000,Medium,36 months,11.71,Medium,330.76,Medium,B,B3,Value Air,10,Expert (7y+),OWN,50000,Low,Source Verified,11.18,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069700,1304810,10000,Medium,10000,Medium,10000,Medium,36 months,11.71,Medium,330.76,Medium,B,B3,Wells Fargo Bank,5,Senior (3-7y),RENT,50000,Low,Not Verified,16.01,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069559,1304634,6000,Medium,6000,Medium,6000,Medium,36 months,11.71,Medium,198.46,Low,B,B3,bmg-educational,1,Fresher (0-1y),RENT,76000,Medium,Not Verified,2.4,Low,major_purchase,12/1/2011,12,Dec,2011,Charged Off,1
1069697,1273773,15000,High,15000,Medium,15000,High,36 months,9.91,Low,483.38,High,B,B1,Winfield Pathology Consultants,2,Junior (1-3y),MORTGAGE,92000,Medium,Verified,29.44,High,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069800,1304679,15000,High,15000,Medium,8725,Medium,36 months,14.27,Medium,514.64,High,C,C2,nyc transit,9,Expert (7y+),RENT,60000,Medium,Not Verified,15.22,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1069657,1304764,5000,Medium,5000,Low,5000,Medium,60 months,16.77,High,123.65,Low,D,D2,Frito Lay,2,Junior (1-3y),RENT,50004,Medium,Not Verified,13.97,Medium,other,12/1/2011,12,Dec,2011,Charged Off,1
1069799,1304678,4000,Low,4000,Low,4000,Low,36 months,11.71,Medium,132.31,Low,B,B3,Shands Hospital at the University of Fl,10,Expert (7y+),MORTGAGE,106000,High,Not Verified,5.63,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1047704,1278806,8500,Medium,8500,Medium,8500,Medium,36 months,11.71,Medium,281.15,Medium,B,B3,Oakridge homes,1,Fresher (0-1y),RENT,25000,Low,Source Verified,12.19,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1032111,1261745,4375,Low,4375,Low,4375,Low,36 months,7.51,Low,136.11,Low,A,A3,,7,Senior (3-7y),MORTGAGE,17108,Low,Source Verified,20.34,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069539,1304608,31825,Very High,31825,High,31825,Very High,36 months,7.9,Low,995.82,Very High,A,A4,Audubon Mutual Housing Corporation,5,Senior (3-7y),MORTGAGE,75000,Medium,Verified,14.03,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069591,1304289,5000,Medium,5000,Low,5000,Medium,36 months,8.9,Low,158.77,Low,A,A5,Good Samaritan Society,2,Junior (1-3y),RENT,24044,Low,Verified,11.93,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069530,1291365,7000,Medium,7000,Medium,7000,Medium,36 months,15.96,High,245.97,Medium,C,C5,GREG BARRETT DRYWALL,7,Senior (3-7y),RENT,34000,Low,Source Verified,6.35,Low,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069522,1304589,12400,Medium,12400,Medium,12400,Medium,36 months,10.65,Medium,403.91,High,B,B2,Sharp Lawn Inc.,10,Expert (7y+),RENT,41000,Low,Not Verified,11.8,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069361,1304255,10800,Medium,10800,Medium,10800,Medium,36 months,9.91,Low,348.03,Medium,B,B1,Department of Justice,2,Junior (1-3y),RENT,55596,Medium,Source Verified,5.5,Low,moving,12/1/2011,12,Dec,2011,Fully Paid,0
1069357,1304251,15000,High,15000,Medium,15000,High,36 months,7.9,Low,469.36,High,A,A4,Gateway Hospice,1,Fresher (0-1y),RENT,45000,Low,Verified,8.48,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069356,1304250,6000,Medium,6000,Medium,6000,Medium,36 months,12.42,Medium,200.5,Medium,B,B4,Cox Communications,1,Fresher (0-1y),RENT,36852,Low,Source Verified,10.62,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1067573,1301955,9600,Medium,9600,Medium,9600,Medium,36 months,7.51,Low,298.67,Medium,A,A3,Nucor Building Systems,4,Senior (3-7y),RENT,68004,Medium,Source Verified,6.63,Low,other,12/1/2011,12,Dec,2011,Fully Paid,0
1069506,1304567,12000,Medium,12000,Medium,12000,Medium,36 months,7.9,Low,375.49,Medium,A,A4,John Wiley Jr.,10,Expert (7y+),RENT,62300,Medium,Not Verified,16.7,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069314,1304202,3000,Low,3000,Low,3000,Low,36 months,18.25,High,108.84,Low,D,D5,,9,Expert (7y+),MORTGAGE,65000,Medium,Not Verified,17.39,Medium,other,12/1/2011,12,Dec,2011,Fully Paid,0
1060578,1292332,4400,Low,4400,Low,4400,Low,36 months,16.77,High,156.37,Low,D,D2,citizens bank,10,Expert (7y+),RENT,55000,Medium,Not Verified,20.01,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069469,1304526,6000,Medium,6000,Medium,6000,Medium,36 months,6.03,Low,182.62,Low,A,A1,"Stewart Enterprises, Inc.",10,Expert (7y+),MORTGAGE,45600,Low,Not Verified,5.34,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1051117,1282787,14000,Medium,14000,Medium,14000,Medium,36 months,9.91,Low,451.15,High,B,B1,golfers warehouse,6,Senior (3-7y),RENT,80000,Medium,Not Verified,10,Low,small_business,12/1/2011,12,Dec,2011,Fully Paid,0
1069465,1304521,5000,Medium,5000,Low,5000,Medium,36 months,8.9,Low,158.77,Low,A,A5,STERIS Corporation,10,Expert (7y+),MORTGAGE,100000,Medium,Source Verified,16.33,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1069283,1304166,10000,Medium,10000,Medium,10000,Medium,36 months,10.65,Medium,325.74,Medium,B,B2,Costco Wholesale Corp.,6,Senior (3-7y),RENT,27000,Low,Verified,11.47,Medium,other,12/1/2011,12,Dec,2011,Fully Paid,0
1069287,1304171,10000,Medium,10000,Medium,10000,Medium,36 months,6.03,Low,304.36,Medium,A,A1,Helicoil,10,Expert (7y+),RENT,60000,Medium,Not Verified,12.74,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069453,1303701,11000,Medium,11000,Medium,11000,Medium,36 months,6.62,Low,337.75,Medium,A,A2,cognizant technology solutions,5,Senior (3-7y),RENT,70000,Medium,Not Verified,10.85,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069248,1304123,15000,High,15000,Medium,15000,High,36 months,9.91,Low,483.38,High,B,B1,Caterpillar Inc.,8,Expert (7y+),MORTGAGE,80000,Medium,Not Verified,9.12,Low,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1068120,1302485,25600,Very High,25600,High,25350,Very High,36 months,9.91,Low,824.96,Very High,B,B1,City of Santa Monica,9,Expert (7y+),RENT,110000,High,Verified,15.71,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069244,1304117,7000,Medium,7000,Medium,7000,Medium,36 months,10.65,Medium,228.02,Medium,B,B2,Aerotek Scientific,1,Fresher (0-1y),RENT,40000,Low,Not Verified,7.38,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069243,1304116,12000,Medium,12000,Medium,12000,Medium,36 months,15.96,High,421.65,High,C,C5,Chemat Technology Inc,4,Senior (3-7y),RENT,50000,Low,Not Verified,20.88,High,car,12/1/2011,12,Dec,2011,Charged Off,1
1069238,1303909,12000,Medium,12000,Medium,12000,Medium,36 months,9.91,Low,386.7,Medium,B,B1,Scott & White,1,Fresher (0-1y),RENT,46000,Low,Not Verified,8.11,Low,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069410,1303652,21000,High,21000,High,20975,High,60 months,19.91,High,555.33,High,E,E4,Costco,7,Senior (3-7y),RENT,50000,Low,Verified,21.58,High,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1068409,1302790,16000,High,16000,High,15950,High,60 months,19.91,High,423.11,High,E,E4,CA Technologies,7,Senior (3-7y),RENT,81000,Medium,Verified,20.52,High,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068487,1302882,10000,Medium,10000,Medium,10000,Medium,36 months,12.42,Medium,334.16,Medium,B,B4,Netflix,1,Fresher (0-1y),OWN,39000,Low,Not Verified,18.58,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1043961,1274517,10000,Medium,10000,Medium,10000,Medium,36 months,10.65,Medium,325.74,Medium,B,B2,DCAA,2,Junior (1-3y),RENT,51400,Medium,Not Verified,19.14,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068945,1287308,7100,Medium,7100,Medium,7100,Medium,36 months,16.77,High,252.33,Medium,D,D2,Triple D security,1,Fresher (0-1y),MORTGAGE,33000,Low,Verified,24,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069142,1287810,13000,Medium,13000,Medium,13000,Medium,60 months,12.69,Medium,293.74,Medium,B,B5,wrisco,1,Fresher (0-1y),MORTGAGE,30000,Low,Source Verified,13.72,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068934,1277395,17500,High,8950,Medium,8925,Medium,60 months,17.27,High,223.74,Medium,D,D3,,6,Senior (3-7y),RENT,40000,Low,Verified,19.47,Medium,small_business,12/1/2011,12,Dec,2011,Fully Paid,0
1069136,1278095,17675,High,17675,High,17675,High,60 months,14.65,Medium,417.25,High,C,C3,webb candy,1,Fresher (0-1y),RENT,50000,Low,Source Verified,16.46,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068923,1303549,8000,Medium,8000,Medium,8000,Medium,36 months,16.77,High,284.31,Medium,D,D2,Omniplex,1,Fresher (0-1y),RENT,62000,Medium,Not Verified,21.64,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069126,1303778,10000,Medium,10000,Medium,9975,Medium,60 months,10.65,Medium,215.69,Medium,B,B2,CEC ENTERTAINMENT INC,10,Expert (7y+),RENT,45996,Low,Verified,21.73,High,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1069102,1303750,3500,Low,3500,Low,3500,Low,36 months,10.65,Medium,114.01,Low,B,B2,CPI,7,Senior (3-7y),MORTGAGE,55000,Medium,Not Verified,5.39,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069093,1303740,12500,Medium,8925,Medium,8925,Medium,60 months,17.27,High,223.11,Medium,D,D3,grandma kitchen,5,Senior (3-7y),RENT,30000,Low,Source Verified,13.16,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1069030,1303473,16425,High,16425,High,16425,High,36 months,14.27,Medium,563.53,High,C,C2,"Gen-Probe, Inc",4,Senior (3-7y),RENT,44544,Low,Source Verified,22.71,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068906,1303528,8200,Medium,8200,Medium,8200,Medium,60 months,21.28,High,223.14,Medium,F,F2,autozone,4,Senior (3-7y),RENT,75000,Medium,Source Verified,12.48,Medium,small_business,12/1/2011,12,Dec,2011,Charged Off,1
1069073,1303718,15000,High,15000,Medium,15000,High,36 months,14.65,Medium,517.42,High,C,C3,USAF Civil Service,2,Junior (1-3y),OWN,61000,Medium,Verified,11.88,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1069043,1303486,20975,High,13575,Medium,13550,Medium,60 months,17.58,High,341.63,Medium,D,D4,Dollar Tree Stores,5,Senior (3-7y),MORTGAGE,44000,Low,Verified,18.79,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1060981,1292558,6400,Medium,6400,Medium,6400,Medium,36 months,16.77,High,227.45,Medium,D,D2,"Riverside County, California",5,Senior (3-7y),RENT,75000,Medium,Not Verified,20.22,High,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1069071,1303716,3000,Low,3000,Low,3000,Low,36 months,13.49,Medium,101.8,Low,C,C1,Insight Card Services,1,Fresher (0-1y),RENT,33600,Low,Not Verified,18.11,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069070,1299004,12000,Medium,12000,Medium,12000,Medium,36 months,16.77,High,426.47,High,D,D2,Genocea Biosciences,3,Junior (1-3y),RENT,50000,Low,Not Verified,20.57,High,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068893,1303514,14400,Medium,14400,Medium,14400,Medium,36 months,8.9,Low,457.25,High,A,A5,Model Metrics,1,Fresher (0-1y),OWN,150000,High,Source Verified,14.85,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068882,1303303,12000,Medium,12000,Medium,12000,Medium,36 months,14.65,Medium,413.94,High,C,C3,Boro of Butler,10,Expert (7y+),RENT,90000,Medium,Not Verified,16.56,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1069039,1303482,11000,Medium,11000,Medium,11000,Medium,36 months,13.49,Medium,373.24,Medium,C,C1,TX Army National Guard,10,Expert (7y+),MORTGAGE,48000,Low,Verified,21.82,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068416,1302799,7250,Medium,7200,Medium,7175,Medium,60 months,21.67,High,197.51,Low,F,F3,Cross Country Travel Corp,1,Fresher (0-1y),RENT,75000,Medium,Verified,24.82,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068997,1303437,15000,High,15000,Medium,15000,High,36 months,7.9,Low,469.36,High,A,A4,Segovia's Transportion Inc.,1,Fresher (0-1y),MORTGAGE,52000,Medium,Not Verified,9.65,Low,small_business,12/1/2011,12,Dec,2011,Fully Paid,0
1048390,1279714,18000,High,18000,High,18000,High,60 months,19.91,High,475.99,High,E,E4,AVMED HEALTH PLANS,10,Expert (7y+),MORTGAGE,65000,Medium,Not Verified,6.81,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068994,1303432,35000,Very High,22075,High,22050,High,60 months,17.27,High,551.84,High,D,D3,tutor Per ini Corporation,3,Junior (1-3y),MORTGAGE,150000,High,Verified,7.51,Low,home_improvement,12/1/2011,12,Dec,2011,Fully Paid,0
1068475,1302869,10000,Medium,10000,Medium,10000,Medium,36 months,14.27,Medium,343.09,Medium,C,C2,SAP,2,Junior (1-3y),RENT,68000,Medium,Source Verified,15.39,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068989,1282013,11800,Medium,11800,Medium,11800,Medium,36 months,12.69,Medium,395.83,Medium,B,B5,Koi Restaurant,6,Senior (3-7y),RENT,42000,Low,Source Verified,9.86,Low,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068967,1303403,4500,Low,4500,Low,4500,Low,36 months,6.03,Low,136.96,Low,A,A1,CaseStack,4,Senior (3-7y),RENT,53000,Medium,Source Verified,4.44,Low,major_purchase,12/1/2011,12,Dec,2011,Fully Paid,0
1068744,1303379,7000,Medium,7000,Medium,7000,Medium,36 months,12.69,Medium,234.82,Medium,B,B5,Bellflower convalecent hospital,10,Expert (7y+),RENT,35000,Low,Source Verified,11.35,Medium,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1045509,1276120,9200,Medium,9200,Medium,9200,Medium,36 months,12.42,Medium,307.43,Medium,B,B4,Kaiser Permanente,2,Junior (1-3y),RENT,60000,Medium,Source Verified,19.96,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1041756,1272024,4500,Low,4500,Low,4475,Low,60 months,10.65,Medium,97.06,Low,B,B2,barnes distribution,1,Fresher (0-1y),MORTGAGE,42000,Low,Source Verified,5.4,Low,car,12/1/2011,12,Dec,2011,Fully Paid,0
1068694,1303326,12000,Medium,12000,Medium,12000,Medium,36 months,16.29,High,423.61,High,D,D1,Phoenix Newspapers Inc.,9,Expert (7y+),RENT,88365,Medium,Verified,16.85,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068792,1303200,12000,Medium,12000,Medium,12000,Medium,36 months,13.49,Medium,407.17,High,C,C1,LITHIA MOTORS,4,Senior (3-7y),RENT,72000,Medium,Source Verified,21.33,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068558,1303163,12000,Medium,12000,Medium,12000,Medium,36 months,10.65,Medium,390.88,Medium,B,B2,Insight Global,1,Fresher (0-1y),RENT,62000,Medium,Verified,23.94,High,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068322,1302938,7000,Medium,7000,Medium,7000,Medium,36 months,10.65,Medium,228.02,Medium,B,B2,Winghouse Corporation,3,Junior (1-3y),MORTGAGE,43680,Low,Not Verified,5.38,Low,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1065674,1299785,8200,Medium,8200,Medium,8200,Medium,60 months,19.42,High,214.62,Medium,E,E3,Claret Wine Bar,3,Junior (1-3y),RENT,120000,High,Source Verified,2.8,Low,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068547,1303150,10500,Medium,10500,Medium,10500,Medium,36 months,12.69,Medium,352.23,Medium,B,B5,O'Connor,10,Expert (7y+),RENT,66000,Medium,Verified,20.73,High,medical,12/1/2011,12,Dec,2011,Fully Paid,0
1068545,1303147,7000,Medium,7000,Medium,7000,Medium,36 months,11.71,Medium,231.54,Medium,B,B3,Harris,4,Senior (3-7y),OWN,39120,Low,Not Verified,21.01,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1049528,1280928,20000,High,12800,Medium,12775,Medium,60 months,11.71,Medium,282.86,Medium,B,B3,NCS Technologies,4,Senior (3-7y),MORTGAGE,47800,Low,Verified,10.04,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068542,1303143,17500,High,17500,High,17500,High,60 months,17.27,High,437.47,High,D,D3,Travelers Insurance,7,Senior (3-7y),MORTGAGE,45000,Low,Not Verified,21.31,High,credit_card,12/1/2011,12,Dec,2011,Charged Off,1
1068350,1302971,3500,Low,3500,Low,3500,Low,36 months,6.03,Low,106.53,Low,A,A1,J&J Steel Inc,10,Expert (7y+),MORTGAGE,83000,Medium,Verified,2.31,Low,car,12/1/2011,12,Dec,2011,Fully Paid,0
1068509,1302907,6200,Medium,6200,Medium,6200,Medium,36 months,9.91,Low,199.8,Low,B,B1,Sunrise Senior Living,2,Junior (1-3y),RENT,25000,Low,Not Verified,20.64,High,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1068508,1302906,6000,Medium,6000,Medium,6000,Medium,36 months,8.9,Low,190.52,Low,A,A5,A Touch Of Italy,8,Expert (7y+),OWN,28800,Low,Not Verified,13.17,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1066641,1300833,7200,Medium,7200,Medium,7200,Medium,36 months,9.91,Low,232.02,Medium,B,B1,New York Living Solutions,6,Senior (3-7y),RENT,135000,High,Not Verified,6.12,Low,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068315,1302930,9500,Medium,9500,Medium,9500,Medium,36 months,8.9,Low,301.66,Medium,A,A5,Natex Architects,7,Senior (3-7y),MORTGAGE,50000,Low,Not Verified,8.18,Low,credit_card,12/1/2011,12,Dec,2011,Fully Paid,0
1068309,1302924,18825,High,18825,High,18800,High,60 months,16.77,High,465.53,High,D,D2,Texas Health & Human Services Commission,10,Expert (7y+),RENT,38000,Low,Verified,23.18,High,debt_consolidation,12/1/2011,12,Dec,2011,Charged Off,1
1068326,1302942,24000,High,24000,High,24000,High,36 months,10.65,Medium,781.76,Very High,B,B2,City of Newport Beach,10,Expert (7y+),RENT,45000,Low,Verified,14.8,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1066767,1300950,6000,Medium,6000,Medium,6000,Medium,36 months,13.49,Medium,203.59,Medium,C,C1,Becker Construction Corporation,10,Expert (7y+),RENT,80000,Medium,Not Verified,11.58,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068484,1302879,6000,Medium,6000,Medium,6000,Medium,36 months,13.49,Medium,203.59,Medium,C,C1,Edward Jones,5,Senior (3-7y),RENT,50000,Low,Not Verified,15.38,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068292,1302706,2100,Low,2100,Low,2100,Low,36 months,12.42,Medium,70.18,Low,B,B4,Monroe Dispat,10,Expert (7y+),MORTGAGE,30000,Low,Not Verified,19.72,Medium,vacation,12/1/2011,12,Dec,2011,Fully Paid,0
1068273,1302680,5500,Medium,5500,Medium,5500,Medium,36 months,6.62,Low,168.88,Low,A,A2,,8,Expert (7y+),MORTGAGE,110000,High,Verified,9.69,Low,small_business,12/1/2011,12,Dec,2011,Fully Paid,0
1068274,1302681,11000,Medium,11000,Medium,11000,Medium,36 months,6.62,Low,337.75,Medium,A,A2,East Baton Rouge Parish School System,8,Expert (7y+),OWN,45608,Low,Source Verified,20.5,High,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068440,1302831,26800,Very High,26800,High,26800,Very High,60 months,20.89,High,723.38,Very High,F,F1,charlotte regional medical center,3,Junior (1-3y),MORTGAGE,120000,High,Verified,12.15,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1046456,1277297,8000,Medium,8000,Medium,8000,Medium,36 months,12.69,Medium,268.36,Medium,B,B5,OPW Fuel Management Systems,5,Senior (3-7y),MORTGAGE,35000,Low,Not Verified,10.05,Medium,debt_consolidation,12/1/2011,12,Dec,2011,Fully Paid,0
1068012,1302365,10000,Medium,10000,Medium,10000,Medium,36 months,18.25,High,362.78,Medium,D,D5,Gucci Group/ Yves Saint Laurent,1,Fresher (0-1y),RENT,75000,Medium,Source Verified,24.14,High,credit_card,12/1/2011,12,Dec,2011,Charged Off,1
